,exchangeId,encodedCustNo,name,nickName,isAlwaysOn,jobCount,industryMean,mean,meanNonSupervisor,medianNonSupervisor
268,2206,b0zd5kg,三陽工業股份有限公司,三陽工業,True,19,86.6,121.9,117.7,112.2
300,2331,ab9w3zk,精英電腦股份有限公司,精英,True,0,138.1,133.7,130.7,112.0
1137,5536,o4ntlmw,聖暉工程科技股份有限公司,聖暉*,True,39,134.7,155.2,134.1,111.7
577,3036,12tgftnk,文曄集團_文曄科技股份有限公司,文曄,True,38,110.9,174.2,139.2,111.7
1279,6237,13ni1h20,驊訊電子企業股份有限公司,驊訊,True,13,193.8,150.7,122.0,111.5
434,2535,8q6bsew,達欣工程股份有限公司,達欣工,True,11,105.5,134.9,117.6,111.5
521,2887,10wh8zx4,台新金融控股股份有限公司(台新銀行消費金融處),台新金,True,0,134.3,138.3,137.6,111.4
357,2417,auhyjqo,圓剛科技股份有限公司,圓剛,True,24,138.1,119.0,115.7,111.4
1229,6183,18mw4ku8,關貿網路股份有限公司,關貿,True,51,107.4,118.7,121.9,111.4
110,1519,fagha6g,華城電機股份有限公司,華城,True,58,81.5,148.3,154.6,111.3
1118,5493,1egs98o,三聯科技股份有限公司,三聯,True,10,134.7,118.7,112.5,111.3
32,1304,5h34ym0,台灣聚合化學品股份有限公司,台聚,False,0,111.7,115.6,121.9,111.0
398,2472,o1x6re0,立隆電子工業股份有限公司,立隆電,True,5,94.0,135.2,116.3,111.0
358,2419,a4blzsg,仲琦科技股份有限公司,仲琦,True,2,101.1,135.5,126.6,110.5
31,1303,ymhw2i0,南亞塑膠工業股份有限公司,南亞,True,25,111.7,104.2,118.8,110.5
761,3528,5tmzveo,安馳科技股份有限公司,安馳,True,9,110.9,100.6,125.3,110.5
320,2362,4buzv2w,藍天電腦股份有限公司,藍天,True,14,138.1,125.2,120.6,110.1
517,2883,wjcsmhk,凱基金融控股股份有限公司|凱基證券|凱基銀行|中華開發資本|凱基投信,開發金,True,333,134.3,144.0,135.9,110.0
1246,6202,7erkya8,盛群半導體股份有限公司,盛群,True,1,193.8,98.0,118.5,110.0
1108,5474,azb1cds,聰泰科技開發股份有限公司,聰泰,True,21,138.1,146.8,133.5,109.7
804,3617,18s1jjg8,碩天科技股份有限公司,碩天,True,32,134.7,138.2,123.9,109.7
1460,6757,1a2x6bl3jm,台灣虎航股份有限公司,台灣虎航-創,True,4,127.2,156.9,168.3,109.6
329,2374,58g8ank,佳能企業股份有限公司,佳能,True,36,90.6,104.7,114.8,109.0
1126,5519,13glgyg8,隆大營建事業股份有限公司,隆大,True,3,105.5,133.6,113.8,108.8
1071,5324,2d4eprk,士林開發股份有限公司,士開,False,0,105.5,140.3,116.1,108.7
341,2392,a7jay28,正崴精密工業股份有限公司,正崴,True,100,94.0,108.5,124.6,108.6
666,3260,5wp49rs,威剛科技股份有限公司,威剛,True,27,193.8,155.5,130.9,108.6
282,2258,1a2x6blghh,鴻華先進科技股份有限公司,鴻華先進-創,True,139,86.6,134.1,129.4,108.3
730,3447,7dcy900,展達通訊股份有限公司_群光集團關係企業,展達,True,22,101.1,114.5,123.3,108.3
1441,6708,5uu9i94,天擎積體電路股份有限公司,天擎,True,7,193.8,116.2,114.7,108.3
1275,6233,7fjpig0,旺玖科技股份有限公司,旺玖,True,10,193.8,119.0,120.5,108.2
672,3276,wgzqq3c,宇環科技股份有限公司,宇環,False,0,94.0,179.4,96.9,108.2
527,2897,whzylwo,O-Bank_王道商業銀行股份有限公司,王道銀行,True,117,134.3,151.3,131.7,108.1
570,3029,e7ef0go,零壹科技股份有限公司_Zero One Tech,零壹,True,56,107.4,122.1,110.9,108.0
505,2836,10onhfpk,高雄銀行股份有限公司,高雄銀,True,16,134.3,133.0,120.9,107.9
1076,5347,12nocs6o,世界先進積體電路股份有限公司,世界,True,190,193.8,129.5,148.5,107.6
267,2204,0,中華汽車工業股份有限公司,中華,False,0,86.6,113.6,120.7,107.5
437,2538,5mmbmwg,基泰建設股份有限公司,基泰,True,8,105.5,148.1,163.9,107.5
219,2006,ykzw50o,東和鋼鐵企業股份有限公司,東和鋼鐵,True,30,97.9,109.8,113.6,107.3
1046,5244,ct1kn8w,弘凱光電股份有限公司,弘凱,True,11,90.6,143.0,129.6,107.3
460,2615,58gae9s,萬海航運股份有限公司,萬海,True,44,127.2,132.1,127.8,106.9
